stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1201,1201,Jacksboro HWY & Menefee,Westbound - Near Side,32.787068,-97.38495,,,,,,0
1218,1218,Main & Central,Southbound - Near Side,32.778093,-97.347111,,,,,,0
1221,1221,Main & 7th,Southbound - Far Side,32.768187,-97.340499,,,,,,0
1222,1222,Main & 6th,Southbound - Near Side,32.766938,-97.339653,,,,,,0
1223,1223,Main & 5th,Southbound - Far Side,32.764878,-97.338302,,,,,,0
1224,1224,Hemphill & Vickery - Jarvis,Southbound - Mid Block,32.743354,-97.331755,,,,,,0
1226,1226,Hemphill & Pennsylvania,Southbound - Far Side,32.738067,-97.331945,,,,,,0
1227,1227,Hemphill & Terrel,Southbound - Far Side,32.7349,-97.331696,,,,,,0
1228,1228,Hemphill & Oleander,Southbound - Near Side,32.732179,-97.331694,,,,,,0
1231,1231,Hemphill & Allen,Southbound - Near Side,32.726205,-97.33169,,,,,,0
1232,1232,Hemphill & Jefferson - Richmond,Southbound - Mid Block,32.724141,-97.331692,,,,,,0
1234,1234,Hemphill & Page,Southbound - Near Side,32.717017,-97.331691,,,,,,0
1235,1235,Hemphill & Morningside - Capps,Southbound - Mid Block,32.713867,-97.331718,,,,,,0
1236,1236,Hemphill & Lowden - Bowie,Southbound - Mid Block,32.708621,-97.331732,,,,,,0
1237,1237,Hemphill & Berry,Southbound - Near Side,32.706442,-97.331759,,,,,,0
1238,1238,Hemphill & Devitt,Southbound - Near Side,32.704594,-97.331765,,,,,,0
1239,1239,Hemphill & Shaw - Bewick,Southbound - Mid Block,32.701072,-97.331772,,,,,,0
1240,1240,Hemphill & Biddison,Southbound - Near Side,32.69885,-97.331813,,,,,,0
1241,1241,Hemphill & Butler,Southbound - Near Side,32.695811,-97.331805,,,,,,0
1247,1247,Vickery & Maidstone,Westbound - Near Side,32.737596,-97.303625,,,,,,0
1252,1252,Oakland & Barnett,Southbound - Near Side,32.751434,-97.261749,,,,,,0
1253,1253,Oakland & Arden,Southbound - Near Side,32.748596,-97.261731,,,,,,0
1254,1254,Oakland & Kenwood,Southbound - Far Side,32.742244,-97.262019,,,,,,0
1255,1255,Oakland & Lancaster,Northbound - Far Side,32.741749,-97.261764,,,,,,0
1256,1256,Oakland & Arden,Northbound - Near Side,32.748416,-97.261613,,,,,,0
1257,1257,Oakland & Barnett,Northbound - Near Side,32.751245,-97.261639,,,,,,0
1258,1258,Oakland & Pyron,Northbound - Near Side,32.754167,-97.261613,,,,,,0
1264,1264,Woodhaven & La Paseo,Northbound - Near Side,32.762375,-97.239786,,,,,,0
1265,1265,Boca Raton & Doral,Eastbound - Far Side,32.76416,-97.237372,,,,,,0
1267,1267,Boca Raton & Village,Eastbound - Far Side,32.764213,-97.232409,,,,,,0
1268,1268,Boca Raton & Oakland Hills,Eastbound - Near Side,32.765245,-97.228859,,,,,,0
1273,1273,Handley Ederville & Pebble,Northbound - Near Side,32.792338,-97.221119,,,,,,0
1276,1276,Bridge & E Loop 820,Westbound - Far Side,32.766504,-97.214527,,,,,,0
1277,1277,Bridge & Bridgewood,Westbound - Near Side,32.765278,-97.217721,,,,,,0
1278,1278,John T White & Anderson,Eastbound - Far Side,32.766159,-97.210445,,,,,,0
1279,1279,John T White & Sycamore,Eastbound - Near Side,32.766123,-97.208349,,,,,,0
1280,1280,John T White & Dove,Eastbound - Near Side,32.766069,-97.205894,,,,,,0
